"INSTNM","CONTROL","UGDS","PRICE","SAT_AVG_ALL","PCTPELL","PCTFLOAN","MD_EARN_WNE_P10","GRAD_DEBT_MDN_SUPP"
"Alabama A & M University","public",4206,15229,827,0.7356,0.8284,30300,33888
"University of Alabama at Birmingham","public",11383,14789,1107,0.346,0.5214,39700,21941.5
"University of Alabama in Huntsville","public",5451,18596,1219,0.3072,0.4596,45500,24097
"Alabama State University","public",4811,11110,851,0.7347,0.7554,26600,33118.5
"The University of Alabama","public",29851,20787,1185,0.204,0.401,41900,23750
"Auburn University at Montgomery","public",4304,13431,1009,0.4192,0.5803,35000,21335
"Auburn University","public",20514,18644,1215,0.161,0.3494,45700,21831
"Birmingham Southern College","nonprofit",1180,18728,1181,0.192,0.4809,44200,27000
"Huntingdon College","nonprofit",1149,19040,1026,0.3982,0.7153,36500,26230
"Jacksonville State University","public",7060,17974,1041,0.4428,0.6825,34600,23000
"University of West Alabama","public",1916,13092,990,0.5323,0.6733,33900,24253
"Marion Military Institute","public",433,10679,1055,0.378,0.6244,44500,11500
"University of Mobile","nonprofit",1460,19017,1014,0.4909,0.7576,35000,27000
"University of Montevallo","public",2644,16877,1070,0.3972,0.5856,34900,23266
"University of North Alabama","public",5485,11294,1029,0.4051,0.6733,36100,21500
"Oakwood University","nonprofit",1878,24992,928,0.5062,0.7271,33900,27250
"Samford University","nonprofit",3033,26733,1165,0.1391,0.3385,45800,23000
"University of South Alabama","public",11267,14327,1048,0.3906,0.5729,37300,24711
"Spring Hill College","nonprofit",1215,19713,1116,0.2307,0.6873,42800,27000
"Southeastern Bible College","nonprofit",170,13536,930,0.6398,0.7702,30300,24000
"Stillman College","nonprofit",1056,17002,811,0.8436,0.8992,25700,38218
"Troy University","public",15025,11907,1050,0.4537,0.6521,35600,25000
"Tuskegee University","nonprofit",2588,29242,978,0.63,0.7639,36800,33500
"Alaska Pacific University","nonprofit",275,25616,1054,0.3152,0.5297,47000,23250
"Arizona State University-Tempe","public",39316,10858,1135,0.3192,0.4527,45100,20229
"Prescott College","nonprofit",454,24851,1073,0.455,0.6073,33300,24398.5
"Arizona Christian University","nonprofit",620,27514,988,0.3039,0.463,33500,22500
"University of Arkansas at Little Rock","public",7942,13619,1048,0.3941,0.4775,33900,21736
"Lyon College","nonprofit",690,13652,1109,0.4578,0.674,38600,25000
"University of Arkansas","public",21405,14143,1155,0.2359,0.4026,43400,21500
"University of Arkansas at Pine Bluff","public",2391,8134,886,0.7231,0.7422,27200,27728.5
"Arkansas State University-Main Campus","public",9139,11752,1088,0.4522,0.5342,31700,19250
"Arkansas Tech University","public",8845,10205,1010,0.4447,0.4517,33800,17480
"Baptist Health College-Little Rock","nonprofit",802,20447,990,0.5033,0.7266,43200,13393.5
"University of Central Arkansas","public",9232,11087,1049,0.4101,0.5125,36500,21500
"Central Baptist College","nonprofit",788,12237,985,0.4426,0.5913,31300,21500
"Harding University","nonprofit",4485,24580,1131,0.2663,0.5526,38000,26077
"Henderson State University","public",3226,9716,989,0.5408,0.5964,34500,19586
"Hendrix College","nonprofit",1322,23563,1244,0.1861,0.4703,40500,25500
"Ouachita Baptist University","nonprofit",1455,18488,1112,0.289,0.5431,37400,23250
"University of the Ozarks","nonprofit",578,15008,1061,0.4239,0.4957,36600,24200
"University of Arkansas Community College-Morrilton","public",1920,5566,930,0.6836,0.3965,26100,8000.5
"Williams Baptist College","nonprofit",508,13239,983,0.4704,0.6028,32200,19000
"Southern Arkansas University Main Campus","public",2784,10150,989,0.5034,0.4794,34000,17000
"Azusa Pacific University","nonprofit",5918,29574,1037,0.2898,0.5172,50000,22500
"Biola University","nonprofit",4364,31176,1122,0.311,0.6176,40500,24375
"California Baptist University","nonprofit",6435,27813,976,0.4756,0.7711,40300,27000
"California Institute of Technology","nonprofit",983,25308,1545,0.1126,0.2303,77800,11812.5
"California Lutheran University","nonprofit",2799,27918,1109,0.2722,0.5765,51000,23000
"California Polytechnic State University-San Luis Obispo","public",19177,18047,1234,0.2012,0.3391,61800,19166
"California State University-San Bernardino","public",16439,6712,884,0.6281,0.4476,44600,17500
