"id","place","HadExam","Age","Sex","Jobstt","height","weight","BMI","HealthIns","Wsttime","Wstmon","Lessbelqual","NotImp","Tangibles","Empathy","SuitFreq","SuffInfo","AttractInfo","ImpressInfo","PopularInfo"
"m00001","hanoi",1,19,"female","student",155,43,17.89802289,"yes","yes","yes","no","yes",2,1,"12m",4,3,2,4
"m00002","hanoi",0,20,"female","student",158,42,16.82422689,"yes","no","no","no","no",2,1,"g18m",1,1,3,2
"m00003","hanoi",0,24,"female","unstable",163,46,17.31341037,"yes","no","no","no","no",1,3,"6m",2,2,1,5
"m00004","hanoi",1,20,"female","student",150,40,17.77777778,"yes","yes","yes","no","yes",3,2,"12m",4,2,3,1
"m00005","hanoi",0,23,"male","stable",165,50,18.36547291,"yes","no","no","no","yes",3,3,"18m",3,3,4,2
"m00006","hanoi",0,19,"female","student",150,42,18.66666667,"yes","yes","yes","yes","no",1,1,"12m",5,1,2,3
"m00007","hanoi",0,20,"male","student",170,53,18.33910035,"yes","no","no","yes","yes",3,2,"12m",4,4,3,4
"m00008","hanoi",0,22,"female","student",158,50,20.02884153,"yes","yes","yes","no","yes",3,3,"6m",3,2,3,2
"m00009","hanoi",0,21,"female","student",153,41,17.51463112,"no","yes","yes","no","yes",5,5,"6m",2,1,2,3
"m00010","hanoi",1,48,"female","other",150,50,22.22222222,"no","no","no","no","no",1,1,"6m",5,4,4,4
"m00011","hanoi",0,30,"female","other",151,50,21.92886277,"yes","yes","yes","no","yes",3,2,"12m",4,3,4,4
"m00012","hanoi",0,33,"male","stable",164,56,20.82093992,"no","yes","no","yes","yes",4,4,"g18m",4,3,3,4
"m00013","hanoi",1,31,"female","stable",155,54,22.47658689,"yes","yes","no","no","yes",4,2,"12m",3,4,3,3
"m00014","hanoi",1,20,"female","other",160,60,23.4375,"yes","no","no","no","yes",4,4,"6m",4,3,5,4
"m00015","hanoi",0,25,"female","student",160,49,19.140625,"yes","yes","no","yes","no",3,3,"6m",3,3,3,3
"m00016","hanoi",1,28,"male","unstable",170,62,21.4532872,"no","no","yes","no","no",5,4,"12m",3,4,4,5
"m00017","hanoi",0,28,"male","stable",170,61,21.10726644,"yes","yes","yes","no","yes",3,2,"12m",4,3,4,4
"m00018","hanoi",0,29,"female","stable",160,52,20.3125,"no","yes","yes","no","yes",5,5,"6m",5,5,5,5
"m00019","hanoi",0,48,"female","housewife",158,60,24.03460984,"no","no","no","no","yes",4,5,"6m",4,5,4,5
"m00020","hanoi",0,29,"female","stable",155,63,26.2226847,"yes","no","yes","yes","no",2,4,"12m",3,3,2,3
"m00021","hanoi",1,42,"male","stable",162,62,23.62444749,"yes","no","no","no","no",5,4,"6m",3,2,4,1
"m00022","hanoi",1,30,"female","stable",160,60,23.4375,"yes","no","no","no","no",5,5,"12m",5,3,4,3
"m00023","hanoi",1,26,"male","stable",170,66,22.83737024,"yes","no","no","no","yes",5,5,"6m",2,1,1,2
"m00024","hanoi",0,33,"female","stable",160,54,21.09375,"yes","yes","no","no","no",3,2,"12m",3,3,3,3
"m00025","hanoi",1,21,"female","unstable",160,51,19.921875,"yes","yes","yes","no","yes",3,4,"12m",4,4,3,5
"m00026","hanoi",1,29,"female","stable",163,54,20.32443826,"yes","no","yes","no","no",4,4,"12m",3,3,4,2
"m00027","hanoi",1,37,"female","stable",163,50,18.81892431,"yes","no","no","no","no",5,5,"6m",3,2,2,3
"m00028","hanoi",1,23,"female","stable",162,48,18.28989483,"yes","no","no","no","yes",5,5,"6m",5,4,5,5
"m00029","hanoi",1,26,"female","stable",156,49,20.13477975,"yes","no","no","no","yes",4,5,"6m",1,1,1,1
"m00030","hanoi",0,24,"female","stable",161,48,18.5178041,"no","no","no","no","yes",3,5,"6m",5,3,4,5
"m00031","hanoi",0,24,"male","stable",172,70,23.66143862,"yes","yes","yes","no","yes",3,2,"12m",3,2,3,3
"m00032","hanoi",0,31,"female","stable",160,58,22.65625,"yes","yes","yes","no","yes",4,5,"12m",2,2,1,2
"m00033","hanoi",0,30,"male","unstable",160,50,19.53125,"yes","yes","no","yes","yes",4,5,"12m",3,2,3,2
"m00034","hanoi",1,30,"male","stable",164,56,20.82093992,"yes","yes","no","no","yes",3,4,"6m",2,1,1,1
"m00035","hanoi",0,21,"female","unstable",155,51,21.22788762,"yes","yes","yes","no","yes",5,4,"12m",3,3,3,3
"m00036","hanoi",1,21,"female","stable",160,48,18.75,"yes","no","no","no","no",4,5,"6m",4,3,4,3
"m00037","hanoi",1,26,"female","stable",161,60,23.14725512,"yes","no","no","no","yes",4,5,"6m",3,3,4,3
"m00038","hanoi",0,28,"male","stable",165,53,19.46740129,"yes","yes","no","no","yes",3,4,"6m",4,3,3,2
"m00039","hanoi",1,24,"female","stable",160,52,20.3125,"yes","yes","no","no","yes",4,5,"12m",1,1,1,2
"m00040","hanoi",1,25,"female","stable",162,46,17.52781588,"no","yes","no","no","yes",5,5,"6m",4,5,3,3
"m00041","quangninh",1,18,"female","stable",158,52,20.82999519,"yes","no","no","no","no",2,3,"12m",4,4,5,4
"m00042","hanoi",1,58,"female","housewife",155,53,22.0603538,"yes","yes","yes","no","no",4,5,"6m",3,3,3,4
"m00043","hanam",0,45,"male","other",155,45,18.73048907,"no","yes","yes","no","yes",5,5,"6m",3,1,2,2
"m00044","hanoi",0,37,"male","stable",165,67,24.6097337,"yes","no","no","no","yes",3,4,"6m",4,4,5,5
"m00045","hanoi",1,25,"female","stable",160,45,17.578125,"yes","no","no","no","yes",5,3,"6m",4,2,3,3
"m00046","hanoi",0,28,"male","stable",173,68,22.72043837,"yes","yes","no","no","no",4,4,"6m",3,2,2,3
"m00047","hanoi",1,24,"male","stable",166,54,19.59645812,"yes","no","no","no","yes",3,4,"6m",2,2,3,4
"m00048","hanoi",0,31,"male","stable",160,61,23.828125,"yes","yes","no","no","yes",3,3,"6m",4,2,4,3
"m00049","hanoi",1,24,"female","unstable",150,48,21.33333333,"yes","no","no","no","yes",4,4,"12m",2,4,2,4
"m00050","hanoi",1,24,"female","stable",153,40,17.087445,"yes","no","no","no","yes",2,1,"6m",1,1,2,1
"m00051","hanoi",0,32,"female","stable",155,49,20.39542144,"yes","yes","no","no","yes",4,4,"6m",2,1,2,4
"m00052","hanoi",1,27,"female","unstable",157,48,19.47340663,"yes","yes","yes","no","yes",3,3,"6m",2,1,2,2
"m00053","hanoi",1,24,"female","stable",160,45,17.578125,"yes","yes","no","no","yes",3,5,"6m",1,2,3,1
"m00054","hanoi",0,30,"male","stable",172,66,22.30935641,"yes","no","no","no","no",5,5,"12m",3,2,5,3
"m00055","hanoi",1,27,"male","stable",173,60,20.04744562,"yes","yes","no","no","yes",3,4,"12m",1,1,1,1
"m00056","haiduong",1,29,"female","stable",150,50,22.22222222,"yes","yes","yes","no","yes",2,2,"12m",3,1,2,2
"m00057","hanoi",0,46,"female","housewife",161,54,20.83252961,"yes","yes","yes","no","yes",5,5,"6m",5,4,5,5
"m00058","bacninh",1,36,"female","stable",160,51,19.921875,"no","no","no","no","yes",4,5,"12m",5,5,5,5
"m00059","hanoi",0,27,"female","unstable",163,45,16.93703188,"no","no","no","no","yes",1,2,"6m",5,4,4,3
"m00060","hanoi",0,25,"male","stable",175,70,22.85714286,"yes","yes","no","no","yes",5,5,"6m",5,5,5,5
"m00061","hanoi",0,26,"female","stable",158,47,18.82711104,"yes","yes","no","yes","no",3,4,"6m",3,3,3,2
"m00062","hanoi",0,23,"female","stable",160,46,17.96875,"no","no","yes","no","no",3,4,"18m",4,3,2,1
"m00063","hanoi",0,25,"female","student",155,44,18.31425598,"no","no","yes","no","yes",3,4,"18m",4,3,3,3
"m00064","hanoi",0,23,"female","student",162,42,16.00365798,"no","no","no","no","yes",3,3,"12m",3,3,3,3
"m00065","hanoi",0,23,"female","stable",154,40,16.86625063,"yes","no","no","no","yes",2,1,"18m",2,1,3,2
"m00066","hanoi",0,22,"female","stable",157,41,16.63353483,"yes","no","no","no","yes",3,3,"6m",1,2,2,2
"m00067","hanoi",0,26,"male","stable",158,42,16.82422689,"yes","yes","yes","no","no",3,4,"12m",3,4,5,1
"m00068","hanoi",1,28,"female","stable",158,51,20.42941836,"yes","no","yes","yes","yes",4,3,"6m",1,1,1,1
"m00069","hanoi",1,26,"female","stable",164,59,21.93634741,"no","no","no","no","yes",3,2,"12m",2,4,3,3
"m00070","hanoi",0,26,"female","stable",150,46,20.44444444,"yes","no","no","no","yes",1,3,"12m",2,3,3,3
"m00071","hanoi",0,28,"female","unstable",150,43,19.11111111,"no","no","yes","no","yes",1,1,"6m",1,1,1,1
"m00072","hanoi",1,27,"female","stable",155,43,17.89802289,"yes","no","no","no","no",2,3,"6m",1,1,1,1
"m00073","hanoi",1,25,"male","stable",165,60,22.03856749,"no","yes","no","no","no",5,5,"6m",5,5,5,5
"m00074","hanoi",0,26,"male","stable",165,67,24.6097337,"no","yes","no","no","yes",1,1,"6m",1,3,3,5
"m00075","hanoi",1,27,"female","stable",164,50,18.59012493,"yes","no","no","no","no",4,3,"12m",3,2,2,3
"m00076","hanoi",1,28,"female","stable",158,48,19.22768787,"yes","no","no","no","no",5,5,"6m",3,3,3,3
"m00077","hanoi",1,22,"female","student",154,42.5,17.9203913,"yes","no","no","no","no",4,4,"6m",4,4,4,3
"m00078","nghean",0,25,"male","stable",171,60,20.51913409,"yes","yes","yes","no","no",3,3,"6m",4,4,4,4
"m00079","hanoi",0,31,"female","stable",155,55,22.89281998,"yes","yes","yes","no","yes",5,3,"g18m",2,1,2,2
"m00080","hanoi",1,20,"female","stable",160,45,17.578125,"no","no","no","no","yes",5,5,"6m",1,1,1,2
